kode_produk,nama,harga,deskripsi
P00001,Pulsa Simpati kuota 3 GB malam,7000,Pulsa Simpati kuota 3 GB malam 
P00002,Pulsa Bolt kuota 3 GB,12000,Pulsa Bolt kuota 3 GB 
P00003,Pulsa Bolt ,27000,Pulsa Bolt  
P00004,Pulsa Three ,52000,Pulsa Three  
P00005,Pulsa Three ,102000,Pulsa Three  bonus kuota 3 GB
P00006,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P00007,Pulsa Axis ,202000,Pulsa Axis  
P00008,Pulsa Telkomsel paket WiFi,7000,Pulsa Telkomsel paket WiFi 
P00009,Pulsa Axis paket SMS sesama,12000,Pulsa Axis paket SMS sesama 
P000010,Pulsa Simpati ,27000,Pulsa Simpati  
P000011,Pulsa Telkomsel kuota 5 GB,52000,Pulsa Telkomsel kuota 5 GB 
P000012,Pulsa Simpati ,102000,Pulsa Simpati  bonus kuota 4 GB malam
P000013,Pulsa Smart Fren kuota 5 GB,152000,Pulsa Smart Fren kuota 5 GB 
P000014,Pulsa Simpati paket nelpon sesama,202000,Pulsa Simpati paket nelpon sesama 
P000015,Pulsa Bolt paket nelpon puas,7000,Pulsa Bolt paket nelpon puas 
P000016,Pulsa Bolt ,12000,Pulsa Bolt  
P000017,Pulsa Telkomsel ,27000,Pulsa Telkomsel  
P000018,Pulsa Telkomsel ,52000,Pulsa Telkomsel  
P000019,Pulsa Smart Fren paket nelpon puas,102000,Pulsa Smart Fren paket nelpon puas 
P000020,Pulsa Three ,152000,Pulsa Three  
P000021,Pulsa Smart Fren ,202000,Pulsa Smart Fren  
P000022,Pulsa Telkomsel ,7000,Pulsa Telkomsel  
P000023,Pulsa Mentari ,12000,Pulsa Mentari  
P000024,Pulsa Telkomsel ,27000,Pulsa Telkomsel  bonus nelpon 200 menit
P000025,Pulsa IM3 paket nelpon puas,52000,Pulsa IM3 paket nelpon puas bonus nelpon 200 menit
P000026,Pulsa Three kuota 1 GB,102000,Pulsa Three kuota 1 GB 
P000027,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P000028,Pulsa Simpati ,202000,Pulsa Simpati  
P000029,Pulsa IM3 ,7000,Pulsa IM3  
P000030,Pulsa IM3 kuota 5 GB,12000,Pulsa IM3 kuota 5 GB bonus nelpon 200 menit
P000031,Pulsa Telkomsel ,27000,Pulsa Telkomsel  
P000032,Pulsa Bolt kuota 1 GB,52000,Pulsa Bolt kuota 1 GB 
P000033,Pulsa Smart Fren ,102000,Pulsa Smart Fren  
P000034,Pulsa Telkomsel kuota 1 GB,152000,Pulsa Telkomsel kuota 1 GB 
P000035,Pulsa Three ,202000,Pulsa Three  
P000036,Pulsa IM3 paket SMS puas,7000,Pulsa IM3 paket SMS puas 
P000037,Pulsa Mentari ,12000,Pulsa Mentari  
P000038,Pulsa Three paket WiFi,27000,Pulsa Three paket WiFi 
P000039,Pulsa Three ,52000,Pulsa Three  
P000040,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P000041,Pulsa Bolt ,152000,Pulsa Bolt  
P000042,Pulsa Three paket SMS puas,202000,Pulsa Three paket SMS puas 
P000043,Pulsa Bolt ,7000,Pulsa Bolt  
P000044,Pulsa Mentari ,12000,Pulsa Mentari  
P000045,Pulsa IM3 kuota 3 GB,27000,Pulsa IM3 kuota 3 GB 
P000046,Pulsa Mentari kuota 1 GB malam,52000,Pulsa Mentari kuota 1 GB malam 
P000047,Pulsa Three ,102000,Pulsa Three  bonus kuota 4 GB malam
P000048,Pulsa Axis ,152000,Pulsa Axis  
P000049,Pulsa Mentari ,202000,Pulsa Mentari  
P000050,Pulsa Axis paket SMS sesama,7000,Pulsa Axis paket SMS sesama bonus kuota 4 GB malam
P000051,Pulsa Simpati ,12000,Pulsa Simpati  bonus nelpon 200 menit
P000052,Pulsa Three ,27000,Pulsa Three  
P000053,Pulsa Three ,52000,Pulsa Three  bonus kuota 2 GB 24 jam
P000054,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P000055,Pulsa Three paket nelpon puas,152000,Pulsa Three paket nelpon puas 
P000056,Pulsa Smart Fren kuota 1 GB,202000,Pulsa Smart Fren kuota 1 GB bonus nelpon 200 menit
P000057,Pulsa Three kuota 5 GB,7000,Pulsa Three kuota 5 GB 
P000058,Pulsa Three kuota unlimited,12000,Pulsa Three kuota unlimited 
P000059,Pulsa Smart Fren ,27000,Pulsa Smart Fren  
P000060,Pulsa IM3 ,52000,Pulsa IM3  
P000061,Pulsa Smart Fren ,102000,Pulsa Smart Fren  
P000062,Pulsa Simpati ,152000,Pulsa Simpati  
P000063,Pulsa Mentari ,202000,Pulsa Mentari  
P000064,Pulsa Smart Fren ,7000,Pulsa Smart Fren  
P000065,Pulsa Bolt paket WiFi,12000,Pulsa Bolt paket WiFi 
P000066,Pulsa Simpati ,27000,Pulsa Simpati  
P000067,Pulsa Axis paket SMS puas,52000,Pulsa Axis paket SMS puas 
P000068,Pulsa Three paket SMS sesama,102000,Pulsa Three paket SMS sesama 
P000069,Pulsa Axis kuota 3 GB,152000,Pulsa Axis kuota 3 GB 
P000070,Pulsa Telkomsel kuota unlimited,202000,Pulsa Telkomsel kuota unlimited 
P000071,Pulsa IM3 ,7000,Pulsa IM3  bonus kuota 2 GB 24 jam
P000072,Pulsa Simpati ,12000,Pulsa Simpati  
P000073,Pulsa Mentari ,27000,Pulsa Mentari  
P000074,Pulsa Smart Fren kuota 2 GB,52000,Pulsa Smart Fren kuota 2 GB 
P000075,Pulsa Telkomsel kuota 3 GB malam,102000,Pulsa Telkomsel kuota 3 GB malam 
P000076,Pulsa Simpati ,152000,Pulsa Simpati  bonus kuota 3 GB
P000077,Pulsa Mentari ,202000,Pulsa Mentari  
P000078,Pulsa Mentari paket nelpon sesama,7000,Pulsa Mentari paket nelpon sesama bonus kuota 3 GB
P000079,Pulsa Bolt ,12000,Pulsa Bolt  
P000080,Pulsa Three ,27000,Pulsa Three  
P000081,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P000082,Pulsa Three ,102000,Pulsa Three  
P000083,Pulsa Telkomsel kuota 1 GB,152000,Pulsa Telkomsel kuota 1 GB 
P000084,Pulsa Telkomsel paket WiFi,202000,Pulsa Telkomsel paket WiFi 
P000085,Pulsa Axis ,7000,Pulsa Axis  
P000086,Pulsa Simpati ,12000,Pulsa Simpati  
P000087,Pulsa Axis ,27000,Pulsa Axis  
P000088,Pulsa Mentari ,52000,Pulsa Mentari  
P000089,Pulsa IM3 kuota 1 GB malam,102000,Pulsa IM3 kuota 1 GB malam 
P000090,Pulsa Mentari paket nelpon puas,152000,Pulsa Mentari paket nelpon puas 
P000091,Pulsa Bolt ,202000,Pulsa Bolt  
P000092,Pulsa Simpati ,7000,Pulsa Simpati  
P000093,Pulsa Bolt ,12000,Pulsa Bolt  
P000094,Pulsa Telkomsel ,27000,Pulsa Telkomsel  bonus kuota 2 GB 24 jam
P000095,Pulsa Simpati kuota 1 GB malam,52000,Pulsa Simpati kuota 1 GB malam 
P000096,Pulsa Axis kuota 3 GB,102000,Pulsa Axis kuota 3 GB 
P000097,Pulsa Simpati ,152000,Pulsa Simpati  bonus kuota 3 GB
P000098,Pulsa Three kuota 3 GB malam,202000,Pulsa Three kuota 3 GB malam 
P000099,Pulsa Simpati ,7000,Pulsa Simpati  
P0000100,Pulsa Smart Fren kuota 3 GB malam,12000,Pulsa Smart Fren kuota 3 GB malam 
P0000101,Pulsa Smart Fren ,27000,Pulsa Smart Fren  
P0000102,Pulsa Axis kuota 1 GB malam,52000,Pulsa Axis kuota 1 GB malam 
P0000103,Pulsa Mentari ,102000,Pulsa Mentari  
P0000104,Pulsa Three ,152000,Pulsa Three  
P0000105,Pulsa Smart Fren ,202000,Pulsa Smart Fren  bonus kuota 2 GB 24 jam
P0000106,Pulsa Axis kuota 2 GB,7000,Pulsa Axis kuota 2 GB 
P0000107,Pulsa Telkomsel paket nelpon puas,12000,Pulsa Telkomsel paket nelpon puas 
P0000108,Pulsa Simpati kuota 5 GB,27000,Pulsa Simpati kuota 5 GB 
P0000109,Pulsa Bolt paket nelpon puas,52000,Pulsa Bolt paket nelpon puas 
P0000110,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 2 GB 24 jam
P0000111,Pulsa Axis ,152000,Pulsa Axis  bonus kuota 4 GB malam
P0000112,Pulsa Three paket nelpon puas,202000,Pulsa Three paket nelpon puas 
P0000113,Pulsa Smart Fren ,7000,Pulsa Smart Fren  
P0000114,Pulsa IM3 ,12000,Pulsa IM3  
P0000115,Pulsa Mentari ,27000,Pulsa Mentari  
P0000116,Pulsa IM3 ,52000,Pulsa IM3  
P0000117,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000118,Pulsa IM3 ,152000,Pulsa IM3  
P0000119,Pulsa Telkomsel kuota 2 GB,202000,Pulsa Telkomsel kuota 2 GB 
P0000120,Pulsa Telkomsel ,7000,Pulsa Telkomsel  
P0000121,Pulsa Bolt ,12000,Pulsa Bolt  bonus kuota 3 GB
P0000122,Pulsa Telkomsel paket WiFi,27000,Pulsa Telkomsel paket WiFi 
P0000123,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000124,Pulsa Telkomsel kuota 2 GB,102000,Pulsa Telkomsel kuota 2 GB bonus kuota 4 GB malam
P0000125,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000126,Pulsa Simpati kuota 2 GB,202000,Pulsa Simpati kuota 2 GB 
P0000127,Pulsa Bolt ,7000,Pulsa Bolt  
P0000128,Pulsa Smart Fren paket SMS puas,12000,Pulsa Smart Fren paket SMS puas 
P0000129,Pulsa IM3 paket WiFi,27000,Pulsa IM3 paket WiFi bonus kuota 4 GB malam
P0000130,Pulsa Mentari ,52000,Pulsa Mentari  bonus kuota 2 GB 24 jam
P0000131,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000132,Pulsa IM3 ,152000,Pulsa IM3  
P0000133,Pulsa Mentari ,202000,Pulsa Mentari  bonus nelpon 200 menit
P0000134,Pulsa Telkomsel kuota 3 GB,7000,Pulsa Telkomsel kuota 3 GB 
P0000135,Pulsa Three kuota 2 GB,12000,Pulsa Three kuota 2 GB 
P0000136,Pulsa Axis ,27000,Pulsa Axis  
P0000137,Pulsa Bolt kuota 1 GB,52000,Pulsa Bolt kuota 1 GB 
P0000138,Pulsa Axis ,102000,Pulsa Axis  
P0000139,Pulsa Bolt ,152000,Pulsa Bolt  
P0000140,Pulsa Three ,202000,Pulsa Three  
P0000141,Pulsa Simpati ,7000,Pulsa Simpati  
P0000142,Pulsa Mentari ,12000,Pulsa Mentari  
P0000143,Pulsa Smart Fren ,27000,Pulsa Smart Fren  
P0000144,Pulsa IM3 ,52000,Pulsa IM3  
P0000145,Pulsa Axis ,102000,Pulsa Axis  
P0000146,Pulsa Axis ,152000,Pulsa Axis  
P0000147,Pulsa Mentari ,202000,Pulsa Mentari  
P0000148,Pulsa Bolt paket SMS puas,7000,Pulsa Bolt paket SMS puas 
P0000149,Pulsa IM3 ,12000,Pulsa IM3  
P0000150,Pulsa Axis ,27000,Pulsa Axis  
P0000151,Pulsa Telkomsel paket SMS sesama,52000,Pulsa Telkomsel paket SMS sesama 
P0000152,Pulsa Telkomsel kuota 5 GB,102000,Pulsa Telkomsel kuota 5 GB 
P0000153,Pulsa Axis ,152000,Pulsa Axis  
P0000154,Pulsa Mentari paket WiFi,202000,Pulsa Mentari paket WiFi bonus nelpon 200 menit
P0000155,Pulsa Three ,7000,Pulsa Three  
P0000156,Pulsa Simpati ,12000,Pulsa Simpati  bonus kuota 4 GB malam
P0000157,Pulsa Simpati ,27000,Pulsa Simpati  
P0000158,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000159,Pulsa IM3 ,102000,Pulsa IM3  bonus kuota 3 GB
P0000160,Pulsa Simpati ,152000,Pulsa Simpati  
P0000161,Pulsa Three paket nelpon sesama,202000,Pulsa Three paket nelpon sesama 
P0000162,Pulsa Telkomsel ,7000,Pulsa Telkomsel  bonus kuota 4 GB malam
P0000163,Pulsa Axis ,12000,Pulsa Axis  
P0000164,Pulsa Bolt paket nelpon puas,27000,Pulsa Bolt paket nelpon puas bonus kuota 3 GB
P0000165,Pulsa Axis kuota 3 GB,52000,Pulsa Axis kuota 3 GB bonus kuota 2 GB 24 jam
P0000166,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 4 GB malam
P0000167,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000168,Pulsa Axis paket SMS sesama,202000,Pulsa Axis paket SMS sesama bonus kuota 2 GB 24 jam
P0000169,Pulsa Telkomsel kuota 1 GB malam,7000,Pulsa Telkomsel kuota 1 GB malam 
P0000170,Pulsa Mentari ,12000,Pulsa Mentari  
P0000171,Pulsa Simpati kuota 3 GB,27000,Pulsa Simpati kuota 3 GB 
P0000172,Pulsa Axis ,52000,Pulsa Axis  
P0000173,Pulsa Smart Fren ,102000,Pulsa Smart Fren  bonus kuota 3 GB
P0000174,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000175,Pulsa Mentari paket nelpon sesama,202000,Pulsa Mentari paket nelpon sesama 
P0000176,Pulsa Simpati ,7000,Pulsa Simpati  
P0000177,Pulsa Telkomsel paket nelpon sesama,12000,Pulsa Telkomsel paket nelpon sesama 
P0000178,Pulsa Bolt ,27000,Pulsa Bolt  
P0000179,Pulsa Telkomsel ,52000,Pulsa Telkomsel  
P0000180,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000181,Pulsa Telkomsel paket SMS puas,152000,Pulsa Telkomsel paket SMS puas bonus kuota 3 GB
P0000182,Pulsa Telkomsel kuota 12 GB malam,202000,Pulsa Telkomsel kuota 12 GB malam 
P0000183,Pulsa Simpati paket nelpon puas,7000,Pulsa Simpati paket nelpon puas 
P0000184,Pulsa Mentari paket nelpon sesama,12000,Pulsa Mentari paket nelpon sesama 
P0000185,Pulsa Bolt kuota unlimited,27000,Pulsa Bolt kuota unlimited 
P0000186,Pulsa IM3 paket SMS puas,52000,Pulsa IM3 paket SMS puas 
P0000187,Pulsa IM3 ,102000,Pulsa IM3  
P0000188,Pulsa Mentari kuota 1 GB,152000,Pulsa Mentari kuota 1 GB 
P0000189,Pulsa Smart Fren kuota unlimited,202000,Pulsa Smart Fren kuota unlimited 
P0000190,Pulsa IM3 ,7000,Pulsa IM3  
P0000191,Pulsa Three kuota 12 GB malam,12000,Pulsa Three kuota 12 GB malam 
P0000192,Pulsa IM3 ,27000,Pulsa IM3  
P0000193,Pulsa Axis ,52000,Pulsa Axis  
P0000194,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000195,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000196,Pulsa Axis ,202000,Pulsa Axis  
P0000197,Pulsa Smart Fren paket SMS puas,7000,Pulsa Smart Fren paket SMS puas bonus kuota 3 GB
P0000198,Pulsa Mentari ,12000,Pulsa Mentari  bonus kuota 4 GB malam
P0000199,Pulsa Mentari ,27000,Pulsa Mentari  
P0000200,Pulsa IM3 ,52000,Pulsa IM3  
